CAR,Price,Range,insuarance
BMW i7,"8,599,000",625,"60,000.00"
Benz EQS 500 4MATIC,"7,900,000",702,"70,000.00"
BMW ix3 M Sport,"3,399,000",460,"60,000.00"
Tesla Model Y,"2,509,000",623,"76,765.00"
Tesla Model 3,"2,309,000",681,"28,856.00"
Nissan Leaf,"1,999,000",311,"90,943.00"
BYD ATTO 3,"1,199,900",417,"34,122.00"
GWM OraGoodCat500 Ultra,"1,119,000",500,"40,400.00"
MG ZS,"1,023,000",403,"28,856.00"
MG 4,"869,000",425,"28,856.00"
MG EP,"771,000",380,"25,782.00"
PTT Neta V,"549,000",380,"24,332.00"
Fomm One Fomm One,"499,000",166,"26,064.00"
DFSK Volt CityEV,"355,000",160,"23,000.00"
