CAR,Price,Range,insuarance
BMW i7,8599000.00,625.00,60000.00
Benz EQS 500 4MATIC,7900000.00,702.00,70000.00
BMW ix3 M Sport,3399000.00,460.00,60000.00
Tesla Model Y,2509000.00,623.00,76765.00
Tesla Model 3,2309000.00,681.00,28856.00
Nissan Leaf,1999000.00,311.00,90943.00
BYD ATTO 3,1199900.00,417.00,34122.00
GWM OraGoodCat500 Ultra,1119000.00,500.00,40400.00
MG ZS,1023000.00,403.00,28856.00
MG 4,869000.00,425.00,28856.00
MG EP,771000.00,380.00,25782.00
PTT Neta V,549000.00,380.00,24332.00
Fomm One Fomm One,499000.00,166.00,26064.00
DFSK Volt CityEV,355000.00,160.00,23000.00
